player_id,player_first_name,player_last_name,player_short_first_name,player_short_last_name,player_match_name,player_nationality,player_position,player_place_of_birth,player_known_name,last_updated
767,Lauren,Kozal,Lauren,Kozal,L. Kozal,USA,Goalkeeper,Ada,NA,4/4/24
768,Isabella Louise,D'Aquila,Izzy,D'Aquila,I. D'Aquila,USA,Attacker,Mission Viejo,NA,4/4/24
769,Riley,Mattingly Parker,Riley,Parker,R. Parker,USA,Midfielder,NA,NA,9/3/23
770,Uchenna Grace,Kanu,Uchenna,Kanu,U. Kanu,Nigeria,Attacker,Abia,NA,4/4/24
771,Elli,Pikkujämsä,Elli,Pikkujämsä,E. Pikkujämsä,Finland,Defender,Turku,NA,4/4/24
772,Ariadina,Alves Borges,Ariadina,Alves Borges,Ary Borges,Brazil,Midfielder,São Luis,Ary Borges,4/4/24
773,Lauren Ann,Brzykcy,Lauren,Brzykcy,L. Brzykcy,USA,Goalkeeper,San Clemente,NA,9/3/23
774,Giovanna Christina,DeMarco,Giovanna,DeMarco,G. DeMarco,USA,Midfielder,NA,NA,9/3/23
775,Melanie Magali,Barcenas,Melanie,Barcenas,M. Barcenas,USA,Attacker,San Diego,NA,4/4/24
776,Sierra Ann,Enge,Sierra,Enge,S. Enge,USA,Defender,Sun Valley,NA,4/4/24
777,Nicole,Douglas,Nicole,Douglas,N. Douglas,England,Attacker,London,NA,9/3/23
778,Riley Madison,Tanner Rintala,Riley,Tanner,R. Tanner,Panama,Attacker,Grand Rapids,NA,4/4/24
779,Lena,Silano,Lena,Silano,L. Silano,USA,Attacker,Agoura Hills,NA,4/4/24
780,Chloe Cathleen,Ricketts,Chloe,Ricketts,C. Ricketts,USA,Midfielder,Dexter,NA,4/4/24
781,Civana Grace,Kuhlmann,Civana,Kuhlmann,C. Kuhlmann,USA,Attacker,Centennial,NA,4/4/24
782,Lyza,Bosselmann,Lyza,Bosselmann,L. Bosselmann,USA,Goalkeeper,Flagstaff,NA,4/4/24
783,Inès,Jaurena,Inès,Jaurena,I. Jaurena,France,Midfielder,Paris,NA,9/3/23
784,Gabrielle,Carle,Gabrielle,Carle,G. Carle,Canada,Defender,Quebec,NA,4/4/24
785,Paige,Metayer,Paige,Metayer,P. Metayer,USA,Midfielder,Irvine,NA,4/4/24
786,Mackenzie,Pluck,Mackenzie,Pluck,M. Pluck,USA,Midfielder,NA,NA,9/3/23
787,Jyllissa,Harris,Jyllissa,Harris,J. Harris,USA,Defender,Hazlet,NA,4/4/24
788,Bárbara Klarissa,Olivieri Dávila,Bárbara,Olivieri,B. Olivieri,Venezuela,Midfielder,NA,NA,4/4/24
789,Sophie,Hirst,Sophie,Hirst,S. Hirst,USA,Midfielder,NA,NA,4/4/24
790,Madelyn Marie,Desiano,Madelyn,Desiano,M. Desiano,USA,Defender,NA,NA,4/4/24
791,Savannah,Madden,Savannah,Madden,S. Madden,Peru,Goalkeeper,San Diego,NA,4/4/24
792,Jenna,Gray Nighswonger,Jenna,Nighswonger,J. Nighswonger,USA,Midfielder,Huntington Beach,NA,4/4/24
793,Shae,Holmes,Shae,Holmes,S. Holmes,USA,Defender,Highlands Ranch,NA,4/4/24
794,Reyna René,Reyes Stubblefield,Reyna,Reyes,R. Reyes,Mexico,Defender,Garland,NA,4/4/24
795,Kayla,Fischer,Kayla,Fischer,K. Fischer,USA,Midfielder,Kent,NA,4/4/24
796,Olivia,Sekany,Olivia,Sekany,O. Sekany,USA,Goalkeeper,Livermore,NA,4/4/24
797,Scarlett Nefer,Camberos Becerra,Scarlett,Camberos,S. Camberos,Mexico,Attacker,San Diego,NA,4/4/24
798,Emily Sofia,Alvarado Natividad,Emily,Alvarado,E. Alvarado,Mexico,Goalkeeper,El Paso,NA,4/4/24
799,Croix,Soto,Croix,Soto,C. Soto,USA,Defender,Pasadena,NA,4/4/24
800,Sarah,Clark,Sarah,Clark,S. Clark,USA,Defender,NA,NA,9/3/23
801,Nikia,Smith,Nikia,Smith,N. Smith,USA,Defender,NA,NA,9/3/23
802,Brianna,Martínez,Brianna,Martínez,B. Martínez,USA,Defender,Albuquerque,NA,4/4/24
803,Lindsi,Jennings,Lindsi,Jennings,L. Jennings,USA,Defender,Conroe,NA,9/3/23
804,Maliah,Morris,Maliah,Morris,M. Morris,USA,Attacker,NA,NA,9/3/23
805,Amanda Marie,Allen,Amanda,Allen,A. Allen,Canada,Attacker,Mississauga,NA,4/4/24
806,Sandra,Starke,Sandra,Starke,S. Starke,Germany,Midfielder,NA,NA,9/3/23
807,Meagan Erin,McClelland,Meagan,McClelland,M. McClelland,USA,Goalkeeper,NA,NA,9/3/23
