player_id,player_id,player_match_name,player_position,team_id,season,corners_into_box_successful,games_played,short_passes_successful,shots_off_target,passes_opposition_half_unsuccessful,corners_into_box_unsuccessful,clean_sheets,crossses_corners_unsuccessful,goals_conceded_outside_box,through_balls,duels_aerial,duels_ground,open_play_crosses_unsuccessful,goals_conceded,successful_passes_total,recoveries,handballs_conceded,tackled,duels,appearances,tackles_lost,duels_won,passes_unsuccessful,passes_rightside,overruns,short_passes_unsuccessful,passes_backwards,passes_open_play,key_passes,shots_on_target,open_play_passes_successful,crosses_corners_successful,lay_offs_successful,passes_own_half_unsuccessful,launches_successful,tackles_won,goals_inside_box,minutes,starts,long_passess_successful,sub_on,loss_of_possession_total,goals_conceded_inside_box,goals_right_foot,duels_lost,lay_offs_unsuccessful,shots_total,total_fouls_won,fouls_conceded_total,tackles_total,passes_forward,yellow_cards,touches_total_opposition_box,goals_left_foot,passes_own_half_successful,passes_total,passess_leftside,dribbles_unsuccessful,crosses_open_play_successful,corners_won,interceptions,dribbles_successful,aerial_duels_lost,assists,duels_ground_lost,passess_opp_half_successful,goals,long_passes_unsuccessful,clearances_total,goals_outside_box,touches,ground_duels_won,corners_taken,assists_intentional,sub_off,foul_attempted_tackle,launches_unsuccessful,shots_blocked,aerial_duels_won,goals_home,goals_away,goals_win,woodwork_hit,goal_line_clearances,goals_conceded_penalty,offsides,throw_ins_to_own_player,blocks,penalties_conceded,attempts_from_set_pieces,goals_other,goals_head,own_goals,throw_ins_to_opposition_player,penalties_won,assists_second,gk_distribution_successful,goalkicks_total,penalty_goals,penalties_taken,penalties_saved,saves_made_inside_box,gk_smother,saves_made,catches,punches,saves_made_caught,penalties_faced,saves_made_outside_box,saves_penalty,saves_made_parried,gk_distribution_unsuccessful,drops,last_updated,,
152,152,P. Nielsen,Defender,4,2024,0,24,871,10,151,0,7,4,4,0,64,125,4,34,944,117,1,13,189,24,22,98,260,295,0,132,98,1163,4,2,909,1,0,113,27,36,1,2159,24,73,0,305,30,0,91,0,12,11,20,58,560,5,29,1,667,1204,251,3,1,6,39,3,38,0,53,278,1,128,108,0,1592,72,0,0,1,10,84,5,26,0,1,1,1,1,3,0,29,17,0,0,,0,1,11,0,,2,2,0,0,0,0,,0,0,0,,0,0,0,0,0,,3/12/25,,
153,153,J. Fishlock,Midfielder,6,2024,0,18,472,4,106,0,2,7,2,2,19,118,7,29,489,107,0,24,137,18,14,79,129,169,1,92,123,608,20,6,479,3,4,30,1,18,0,1400,17,17,1,190,27,0,58,2,10,25,12,32,207,0,27,0,215,618,119,6,3,5,15,13,9,3,49,277,0,37,10,0,829,69,0,2,4,7,12,5,10,0,0,0,1,0,3,1,1,5,0,0,,0,0,0,1,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
155,155,M. Mathias,Defender,15,2024,6,13,108,0,47,4,0,14,1,0,8,32,6,7,111,14,0,13,40,13,5,23,44,27,0,23,18,148,7,1,108,8,0,11,1,7,0,364,3,3,10,96,6,0,17,0,1,3,1,12,76,1,1,0,62,155,34,6,2,1,3,2,1,0,16,57,0,21,19,0,319,16,11,0,3,1,11,1,7,0,0,0,0,0,1,1,51,0,0,0,,0,,15,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
174,174,D. Weatherholt,Midfielder,11,2024,0,21,365,1,37,0,0,1,1,0,32,66,1,8,373,59,1,21,98,21,8,51,74,130,0,59,90,442,1,1,369,0,3,38,3,15,1,835,8,8,13,118,7,1,47,2,2,5,9,23,162,0,17,0,242,447,65,9,0,1,6,4,13,0,34,131,1,15,28,0,622,32,0,0,5,5,13,2,19,1,0,0,0,0,1,0,20,4,1,0,,0,0,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,3/12/25,,
182,182,A. Kingsburghy,Goalkeeper,9,2024,0,29,682,1,66,0,7,0,5,0,4,8,0,31,781,230,1,0,12,29,1,11,170,276,0,10,0,633,1,0,580,0,0,104,22,1,0,2669,29,99,0,176,26,0,1,0,1,6,1,2,396,0,1,0,745,951,279,0,0,0,0,0,1,0,0,36,0,160,19,0,1186,8,0,0,0,1,57,0,3,0,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,227,193,0,0,2,50,3,81,20,9,2,5,31,2,10,60,2,3/12/25,,
185,185,J. Spencer,Attacker,15,2024,0,24,500,2,100,0,2,32,2,0,16,205,32,28,518,58,0,55,221,24,21,110,116,52,6,81,134,616,6,5,500,3,2,48,10,31,0,1625,16,18,8,264,26,0,111,0,7,30,23,52,216,4,33,0,293,634,232,36,3,10,22,22,10,0,101,228,0,35,36,0,1207,104,0,0,5,16,27,6,6,0,0,0,0,0,1,2,178,6,0,0,,0,,20,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
187,187,A. Morgan,Attacker,16,2024,0,13,116,9,68,0,1,12,0,0,31,55,12,11,117,17,0,17,86,13,3,39,63,35,0,56,57,159,5,13,96,1,5,7,0,4,0,846,10,1,3,116,11,0,47,0,22,13,14,7,48,1,55,0,43,180,40,2,1,14,2,1,13,1,34,75,0,7,4,0,320,21,0,0,6,7,2,7,18,0,0,0,0,,1,6,2,0,0,0,0,0,0,1,,,0,0,0,2,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
190,190,E. Sonnett,Defender,5,2024,0,27,1286,4,92,0,8,3,3,1,45,87,3,21,1334,205,1,11,132,27,8,70,147,247,0,91,176,1435,10,1,1292,0,0,58,11,16,0,2368,27,48,0,180,18,0,62,1,5,18,20,24,462,5,19,0,967,1481,596,4,0,1,20,8,25,1,37,367,0,56,56,0,1698,50,0,1,4,9,33,3,20,0,0,0,0,1,2,0,5,8,0,0,,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
191,191,A. Henry,Midfielder,12,2024,0,14,372,9,127,0,2,11,2,0,50,87,10,22,400,68,0,20,137,14,9,84,157,128,0,126,74,548,3,7,391,0,7,41,5,18,0,1102,12,28,2,203,20,0,53,0,16,14,17,27,238,3,24,0,207,557,117,4,0,5,16,5,12,0,41,193,0,31,20,0,749,46,0,0,1,13,12,3,38,0,0,0,1,0,3,1,2,2,0,1,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25,,
193,193,A. Franch,Goalkeeper,13,2024,0,17,146,0,21,0,4,0,4,0,5,3,0,26,186,108,0,0,8,17,0,5,56,51,0,2,0,128,0,0,102,0,0,35,9,1,0,1530,17,40,0,58,22,0,3,0,0,0,1,1,97,1,0,0,175,242,94,0,0,0,0,0,1,0,2,11,0,54,16,0,387,1,0,0,0,1,24,0,4,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,141,85,0,0,,28,1,47,6,8,1,1,19,,11,17,1,3/12/25,,
